time/iterations,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,train/n_updates,train/clip_range,train/value_loss,train/approx_kl,train/policy_gradient_loss,rollout/ep_rew_mean,train/loss,train/clip_fraction,train/explained_variance,train/learning_rate,train/entropy_loss
90,46080,34,1331,1036.0227272727273,890,0.2,295.39338598251345,3.1199306e-08,-4.11521177738905e-06,1655.4545454545455,113.55852508544922,0.0,9.5367431640625e-07,1e-06,-1.9458604976534843
91,46592,34,1344,1031.2,900,0.2,1475.5979225158692,0.0,-1.0177900549024343e-06,1653.4,599.1941528320312,0.0,1.049041748046875e-05,1e-06,-1.9458598002791405
92,47104,34,1357,1031.2,910,0.2,4196.958209228515,0.0,-9.119627065956592e-07,1653.4,2442.82861328125,0.0,1.5497207641601562e-06,1e-06,-1.9458596616983415
93,47616,34,1370,1026.7173913043478,920,0.2,2783.151545715332,0.0,-1.084530958905816e-06,1661.7173913043478,1563.0670166015625,0.0,1.1920928955078125e-07,1e-06,-1.945859421789646
94,48128,34,1383,1016.7446808510638,930,0.2,3334.3839752197264,0.0,-1.2614938896149396e-06,1659.468085106383,1816.407958984375,0.0,1.3709068298339844e-06,1e-06,-1.945859108865261
95,48640,34,1396,1016.7446808510638,940,0.2,3785.359539794922,0.0,-1.2130592949688435e-06,1659.468085106383,1689.3514404296875,0.0,6.556510925292969e-07,1e-06,-1.9458590298891068
96,49152,34,1410,1016.7446808510638,950,0.2,23.735705780982972,3.8184226e-08,-2.656131109688431e-05,1659.468085106383,12.682882308959961,0.0,5.960464477539062e-07,1e-06,-1.9458582058548928
97,49664,34,1423,1016.7446808510638,960,0.2,18.078841781616212,8.4983185e-09,-8.826371049508452e-06,1659.468085106383,7.7608113288879395,0.0,5.364418029785156e-07,1e-06,-1.9458563312888146
98,50176,34,1436,1042.8333333333333,970,0.2,307.9231202125549,7.089693e-08,-1.580606331117451e-05,1658.2708333333333,91.54069519042969,0.0,-2.2649765014648438e-06,1e-06,-1.9458543837070466
99,50688,34,1450,1030.0,980,0.2,4965.63713684082,0.0,9.30239912122488e-07,1660.3061224489795,1830.19921875,0.0,4.76837158203125e-07,1e-06,-1.9458525627851486
100,51200,34,1463,1017.48,990,0.2,5501.6827392578125,0.0,-6.885267794132232e-07,1656.82,2873.510009765625,0.0,1.5497207641601562e-06,1e-06,-1.9458524256944656
